Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
gifthamper-satin-hamper,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597036/scrunchcreate/products/gifthamper/satin-hamper/wine/sc-gifthamper-satin-hamper-wine-1.webp,19,Satin Hamper Gifthamper view 19,
hairbow-combo,Combo Hairbow,<p>Stylish combo hairbow sets.</p>,Scrunch & Create,Apparel & Accessories > Clothing Accessories > Hair Accessories,Hairbow,"hairbow, combo, Handmade, Hair Accessories",TRUE,Color,Standard,combo-hairbow,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://scrunchcreate.com/assets/products/hairbow/combo/sc-hairbow-1.webp,1,Combo Hairbow - Standard,active
hairbow-combo,,,,,,,,Color,Satin-tulip,combo-hairbow-satin-tulip,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597098/scrunchcreate/products/hairbow/combo/sc-hairbow-2.webp,2,Combo Hairbow - Satin-tulip,
hairbow-combo,,,,,,,,Color,3-layered,combo-hairbow-3-layered,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597100/scrunchcreate/products/hairbow/combo/sc-hairbow-3.webp,3,Combo Hairbow - 3-layered,
hairbow-combo,,,,,,,,Color,Jimmi-choo,combo-hairbow-jimmi-choo,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597101/scrunchcreate/products/hairbow/combo/sc-hairbow-4.webp,4,Combo Hairbow - Jimmi-choo,
hairbow-combo,,,,,,,,Color,Mini-bow,combo-hairbow-mini-bow,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597102/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-10.webp,5,Combo Hairbow - Mini-bow,
hairbow-combo,,,,,,,,Color,Pigtail,combo-hairbow-pigtail,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597104/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-11.webp,6,Combo Hairbow - Pigtail,
hairbow-combo,,,,,,,,Color,Princess,combo-hairbow-princess,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597105/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-12.webp,7,Combo Hairbow - Princess,
hairbow-combo,,,,,,,,Color,Scarf,combo-hairbow-scarf,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597106/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-13.webp,8,Combo Hairbow - Scarf,
hairbow-combo,,,,,,,,Color,Tulip,combo-hairbow-tulip,50,shopify,20,continue,manual,399,479,TRUE,FALSE,https://res.cloudinary.com/duu26sqog/image/upload/v1775597107/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-14.webp,9,Combo Hairbow - Tulip,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597109/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-15.webp,10,Combo Hairbow view 10,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597110/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-16.webp,11,Combo Hairbow view 11,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597111/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-17.webp,12,Combo Hairbow view 12,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597112/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-18.webp,13,Combo Hairbow view 13,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597113/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-19.webp,14,Combo Hairbow view 14,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597114/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-20.webp,15,Combo Hairbow view 15,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597116/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-21.webp,16,Combo Hairbow view 16,
